config,base,price_source,assumed_spread,execution,kill_switch_usd,n_trades,total_pnl,hit_rate,edge_capture,sharpe,max_drawdown,sharpe_period,n_periods,skew,kurtosis,exits_expiry,exits_kill_switch,exits_end_of_data,signals,queued,filled,rejected_edge_gone,rejected_no_quote,rejected_capacity,pending_at_end,parity_funding_adj,parity_dividend_adj,pnl_adjusted_estimate,dsr_n16,dsr_n35
close_spread0.02_open_t1_ks1500,False,close,0.02,open t+1,1500.0,92,16310.679666666703,0.967391304347826,0.958018879248573,1.555358421796563,7722.803333333328,0.09797837103913355,134,-0.3592777858564748,3.93974517840957,80,2,10,2537,397,92,179,82,41,3,-1136.6446944891552,-544.0,14630.034972177547,0.7105069904959734,0.6743441754361794
close_spread0.02_open_t1_ks2000,True,close,0.02,open t+1,2000.0,92,19054.929666666696,0.9782608695652174,1.1027357004493155,1.6860874049990349,7720.853333333327,0.10621352291299262,134,0.38864014457075363,6.962105389337569,81,1,10,2537,397,92,179,82,41,3,-922.4456744149544,-889.0,17243.483992251742,0.7484701015493527,0.7133833170207846
close_spread0.02_open_t2_ks1500,False,close,0.02,open t+2,1500.0,88,20029.86249999998,0.9772727272727273,1.222979376827469,1.791844120780386,5741.257499999974,0.1128755698042401,134,0.11450638230939138,5.433594080841295,77,0,11,2537,397,88,192,106,5,6,-1779.6858168107883,-345.0,17905.176683189195,0.7696911062576577,0.7365727626202823
close_spread0.02_open_t2_ks2000,False,close,0.02,open t+2,2000.0,88,20029.86249999998,0.9772727272727273,1.222979376827469,1.791844120780386,5741.257499999974,0.1128755698042401,134,0.11450638230939138,5.433594080841295,77,0,11,2537,397,88,192,106,5,6,-1779.6858168107883,-345.0,17905.176683189195,0.7696911062576577,0.7365727626202823
close_spread0.05_open_t1_ks1500,False,close,0.05,open t+1,1500.0,76,15341.700833333358,0.9736842105263158,1.1041797885381297,1.2754354413836273,8833.703333333331,0.08034488074330896,134,-0.4545522113208904,4.949905911580796,72,2,2,1512,348,76,183,82,4,3,-450.0962467858162,-418.0,14473.604586547543,0.6389161727609524,0.5997380475989827
close_spread0.05_open_t1_ks2000,False,close,0.05,open t+1,2000.0,76,19005.150833333355,0.9868421052631579,1.3678472586748882,1.502085471069854,8831.753333333329,0.09462249058128902,134,-0.03237063839391171,5.725774217056379,73,1,2,1512,348,76,183,82,4,3,-455.82064747074776,-418.0,18131.330185862607,0.6999314745667031,0.6626970230878473
close_spread0.05_open_t2_ks1500,False,close,0.05,open t+2,1500.0,52,13094.795833333343,0.9807692307692307,1.619837129878092,1.4794407646681924,5212.543749999992,0.09319600816103024,134,0.11763347020288349,7.117511362550835,46,0,6,1512,348,52,191,99,0,6,-1362.3390381385564,0.0,11732.456795194787,0.6952276364331156,0.6575432161297495
close_spread0.05_open_t2_ks2000,False,close,0.05,open t+2,2000.0,52,13094.795833333343,0.9807692307692307,1.619837129878092,1.4794407646681924,5212.543749999992,0.09319600816103024,134,0.11763347020288349,7.117511362550835,46,0,6,1512,348,52,191,99,0,6,-1362.3390381385564,0.0,11732.456795194787,0.6952276364331156,0.6575432161297495
vwap_spread0.02_open_t1_ks1500,False,vwap,0.02,open t+1,1500.0,102,11666.682091666693,0.9313725490196079,0.4577496682891909,0.6804138628074607,14699.025019999977,0.04286204451403242,134,-0.568509295664552,4.766967062052582,85,5,12,3177,403,102,162,69,67,3,-2168.141912528539,-418.0,9080.540179138154,0.47278187960979967,0.4317141792814135
vwap_spread0.02_open_t1_ks2000,False,vwap,0.02,open t+1,2000.0,103,18186.274591666664,0.9611650485436893,0.6831668991147497,0.9647441672923013,14618.865119999979,0.060773170129893396,134,-0.22529308729915246,4.818599020557778,88,2,13,3177,403,103,166,70,61,3,-2023.7970389597601,-763.0,15399.477552706905,0.5541800582385519,0.512781811324838
vwap_spread0.02_open_t2_ks1500,False,vwap,0.02,open t+2,1500.0,89,16048.28373333331,0.9887640449438202,0.7504270294686258,1.2082824898443763,7182.595668333326,0.0761146424200511,134,0.22220795973672952,4.207768384932614,80,1,8,3177,403,89,214,82,12,6,-2194.751708794235,-564.0,13289.532024539076,0.6241010558855059,0.58337738232823
vwap_spread0.02_open_t2_ks2000,False,vwap,0.02,open t+2,2000.0,89,16048.28373333331,0.9887640449438202,0.7504270294686258,1.2082824898443763,7182.595668333326,0.0761146424200511,134,0.22220795973672952,4.207768384932614,80,1,8,3177,403,89,214,82,12,6,-2194.751708794235,-564.0,13289.532024539076,0.6241010558855059,0.58337738232823
vwap_spread0.05_open_t1_ks1500,False,vwap,0.05,open t+1,1500.0,84,5449.768416666681,0.9285714285714286,0.2567196883059954,0.37180935920158914,15525.175187500008,0.02342178808508785,134,-0.6069032113564191,7.606485331006347,72,5,7,2116,387,84,215,63,22,3,-687.0660334439215,-418.0,4344.70238322276,0.38546186215613026,0.34625204446240365
